instance,optimum,best_fit,after_initial_local,after_initial_oscillation,local_gain,oscillation_gain,direct_gls_gain,final_mean,gap_percent,mean_gls_calls
131,100,100.000,100.000,100.000,0.000,0.000,0.000,100.000,0.000,0.000
132,103,107.000,107.000,105.000,0.000,4.000,0.000,103.000,0.000,0.000
134,101,116.000,115.000,106.000,1.000,13.000,0.000,102.000,0.990,0.000
135,100,105.000,105.000,102.000,0.000,4.667,0.000,100.333,0.333,0.000
137,101,111.000,110.000,106.000,1.000,7.333,0.000,102.667,1.650,0.000
138,100,103.000,103.000,103.000,0.000,3.000,0.000,100.000,0.000,0.000
141,101,101.000,101.000,101.000,0.000,0.000,0.000,101.000,0.000,0.000
142,100,109.000,109.000,109.000,0.000,7.333,0.000,101.667,1.667,0.000
143,100,110.000,110.000,106.000,0.000,8.667,0.000,101.333,1.333,0.000
144,101,101.000,101.000,101.000,0.000,0.000,0.000,101.000,0.000,0.000
145,101,102.000,102.000,102.000,0.000,1.000,0.000,101.000,0.000,0.000
146,100,120.000,120.000,114.000,0.000,14.000,0.000,106.000,6.000,0.000
147,100,140.000,140.000,135.000,0.000,33.333,0.000,106.667,6.667,14.667
148,101,101.000,101.000,101.000,0.000,0.000,0.000,101.000,0.000,0.000
149,100,100.000,100.000,100.000,0.000,0.000,0.000,100.000,0.000,0.000
150,100,115.000,115.000,115.000,0.000,10.333,0.000,104.667,4.667,0.000
